elapsed (s);x-axis (g);y-axis (g);z-axis (g)
3.720;-0.023;-0.062;1.021
3.730;-0.023;-0.062;1.019
3.740;-0.021;-0.067;1.014
3.750;-0.022;-0.067;1.011
3.760;-0.024;-0.067;1.010
3.770;-0.027;-0.067;1.007
3.780;-0.025;-0.068;1.007
3.790;-0.023;-0.067;1.007
3.800;-0.023;-0.064;1.008
3.810;-0.023;-0.064;1.012
3.820;-0.022;-0.062;1.015
3.830;-0.021;-0.059;1.021
3.840;-0.019;-0.058;1.028
3.850;-0.018;-0.058;1.029
3.860;-0.019;-0.054;1.029
3.870;-0.022;-0.055;1.028
3.880;-0.021;-0.056;1.025
3.890;-0.019;-0.058;1.024
3.900;-0.020;-0.062;1.022
3.910;-0.023;-0.062;1.017
3.920;-0.024;-0.058;1.018
3.930;-0.028;-0.063;1.019
3.940;-0.032;-0.062;1.014
3.950;-0.031;-0.060;1.016
3.960;-0.034;-0.063;1.016
3.970;-0.036;-0.062;1.016
3.980;-0.038;-0.058;1.017
3.990;-0.039;-0.060;1.021
4.000;-0.039;-0.058;1.021
4.010;-0.041;-0.058;1.020
4.020;-0.041;-0.057;1.023
4.030;-0.039;-0.054;1.022
4.040;-0.042;-0.055;1.024
4.050;-0.039;-0.054;1.025
4.060;-0.038;-0.051;1.028
4.070;-0.039;-0.052;1.029
4.080;-0.036;-0.049;1.031
4.090;-0.038;-0.055;1.031
4.100;-0.039;-0.055;1.025
4.110;-0.039;-0.054;1.021
4.120;-0.040;-0.056;1.019
4.130;-0.039;-0.057;1.018
4.140;-0.040;-0.061;1.012
4.150;-0.041;-0.063;1.007
4.160;-0.040;-0.059;1.009
4.170;-0.042;-0.055;1.011
4.180;-0.037;-0.057;1.016
4.190;-0.040;-0.055;1.018
4.200;-0.041;-0.058;1.016
4.210;-0.041;-0.056;1.019
4.220;-0.041;-0.055;1.019
4.230;-0.040;-0.057;1.016
4.240;-0.038;-0.058;1.016
4.250;-0.040;-0.061;1.014
4.260;-0.040;-0.062;1.014
4.270;-0.039;-0.064;1.012
4.280;-0.039;-0.064;1.008
4.290;-0.040;-0.064;1.008
4.300;-0.039;-0.064;1.009
4.310;-0.036;-0.067;1.017
4.320;-0.033;-0.063;1.020
4.330;-0.031;-0.063;1.020
4.340;-0.032;-0.066;1.019
4.350;-0.035;-0.062;1.016
4.360;-0.032;-0.065;1.015
4.370;-0.033;-0.067;1.016
4.380;-0.033;-0.066;1.016
4.390;-0.029;-0.065;1.014
4.400;-0.031;-0.064;1.012
4.410;-0.031;-0.066;1.015
4.420;-0.029;-0.065;1.019
4.430;-0.028;-0.061;1.021
4.440;-0.030;-0.062;1.026
4.450;-0.032;-0.061;1.027
4.460;-0.029;-0.058;1.034
4.470;-0.030;-0.061;1.032
4.480;-0.032;-0.063;1.025
4.490;-0.034;-0.065;1.019
4.500;-0.037;-0.068;1.012
4.510;-0.045;-0.071;1.003
4.520;-0.048;-0.081;0.995
